episode_seed,policy,step,best_utility_so_far
29,random,25,0.7950093281356045
29,random,26,0.8686548622014725
29,random,27,0.8686548622014725
29,random,28,0.8686548622014725
29,random,29,0.8686548622014725
29,random,30,0.8686548622014725
29,random,31,0.8686548622014725
29,random,32,0.8686548622014725
29,random,33,0.8686548622014725
29,random,34,0.8686548622014725
29,random,35,0.8686548622014725
29,random,36,0.8686548622014725
29,random,37,0.8686548622014725
29,random,38,0.8686548622014725
29,random,39,0.8686548622014725
29,random,40,0.8686548622014725
29,random,41,0.8686548622014725
29,random,42,0.8686548622014725
29,random,43,0.8713294050967639
29,random,44,0.8713294050967639
29,random,45,0.8713294050967639
29,random,46,0.8713294050967639
29,random,47,0.8713294050967639
29,greedy,0,0.22409766291572372
29,greedy,1,0.3413841551753697
29,greedy,2,0.3413841551753697
29,greedy,3,0.7950093281356045
29,greedy,4,0.7950093281356045
29,greedy,5,0.7950093281356045
29,greedy,6,0.8713294050967639
29,greedy,7,0.8713294050967639
29,greedy,8,0.8713294050967639
29,greedy,9,0.8713294050967639
29,greedy,10,0.917531539151774
29,greedy,11,0.917531539151774
29,greedy,12,0.917531539151774
29,greedy,13,0.917531539151774
29,greedy,14,0.917531539151774
29,greedy,15,0.917531539151774
29,greedy,16,0.917531539151774
29,greedy,17,0.917531539151774
29,greedy,18,0.917531539151774
29,greedy,19,0.917531539151774
29,greedy,20,0.917531539151774
29,greedy,21,0.917531539151774
29,greedy,22,0.917531539151774
29,greedy,23,0.917531539151774
29,greedy,24,0.917531539151774
29,greedy,25,0.917531539151774
29,greedy,26,0.917531539151774
29,greedy,27,0.917531539151774
29,greedy,28,0.917531539151774
29,greedy,29,0.917531539151774
29,greedy,30,0.917531539151774
29,greedy,31,0.917531539151774
29,greedy,32,0.917531539151774
29,greedy,33,0.917531539151774
29,greedy,34,0.917531539151774
29,greedy,35,0.917531539151774
29,greedy,36,0.917531539151774
29,greedy,37,0.917531539151774
29,greedy,38,0.917531539151774
29,greedy,39,0.917531539151774
29,greedy,40,0.917531539151774
29,greedy,41,0.917531539151774
29,greedy,42,0.917531539151774
29,greedy,43,0.917531539151774
29,greedy,44,0.917531539151774
29,greedy,45,0.917531539151774
29,greedy,46,0.917531539151774
29,greedy,47,0.917531539151774
29,bads,0,0.22409766291572372
29,bads,1,0.3413841551753697
29,bads,2,0.3413841551753697
29,bads,3,0.7950093281356045
29,bads,4,0.7950093281356045
29,bads,5,0.7950093281356045
29,bads,6,0.7950093281356045
29,bads,7,0.7950093281356045
29,bads,8,0.7950093281356045
29,bads,9,0.7950093281356045
29,bads,10,0.7950093281356045
29,bads,11,0.7950093281356045
29,bads,12,0.7950093281356045
29,bads,13,0.7950093281356045
29,bads,14,0.7950093281356045
29,bads,15,0.7950093281356045
29,bads,16,0.7950093281356045
29,bads,17,0.7950093281356045
29,bads,18,0.7950093281356045
29,bads,19,0.7950093281356045
29,bads,20,0.7950093281356045
29,bads,21,0.7950093281356045
29,bads,22,0.7950093281356045
29,bads,23,0.7950093281356045
29,bads,24,0.8713294050967639
29,bads,25,0.8713294050967639
29,bads,26,0.8713294050967639
29,bads,27,0.8713294050967639
29,bads,28,0.8713294050967639
29,bads,29,0.8713294050967639
29,bads,30,0.8713294050967639
29,bads,31,0.8713294050967639
29,bads,32,0.8713294050967639
29,bads,33,0.8713294050967639
29,bads,34,0.8713294050967639
29,bads,35,0.8713294050967639
29,bads,36,0.8713294050967639
29,bads,37,0.8713294050967639
29,bads,38,0.8713294050967639
29,bads,39,0.8713294050967639
29,bads,40,0.8713294050967639
29,bads,41,0.8713294050967639
29,bads,42,0.917531539151774
29,bads,43,0.917531539151774
29,bads,44,0.917531539151774
29,bads,45,0.917531539151774
29,bads,46,0.917531539151774
29,bads,47,0.917531539151774
41,random,0,0.5231882459001157
41,random,1,0.5231882459001157
41,random,2,0.5231882459001157
41,random,3,0.5231882459001157
41,random,4,0.5231882459001157
41,random,5,0.5231882459001157
41,random,6,0.5231882459001157
41,random,7,0.5231882459001157
41,random,8,0.5345289475296476
41,random,9,0.5345289475296476
41,random,10,0.5345289475296476
41,random,11,0.5345289475296476
41,random,12,0.5412825211619064
41,random,13,0.7186287623641716
41,random,14,0.7186287623641716
41,random,15,0.7186287623641716
41,random,16,0.7186287623641716
41,random,17,0.7186287623641716
41,random,18,0.7186287623641716
41,random,19,0.7186287623641716
41,random,20,0.7186287623641716
41,random,21,0.7186287623641716
41,random,22,0.7186287623641716
41,random,23,0.7186287623641716
41,random,24,0.7186287623641716
41,random,25,0.7186287623641716
41,random,26,0.7186287623641716
41,random,27,0.7186287623641716
41,random,28,0.7186287623641716
41,random,29,0.7186287623641716
41,random,30,0.7186287623641716
41,random,31,0.7186287623641716
41,random,32,0.7186287623641716
41,random,33,0.7186287623641716
41,random,34,0.7408930282591651
41,random,35,0.7408930282591651
41,random,36,0.7408930282591651
41,random,37,0.7408930282591651
41,random,38,0.7408930282591651
41,random,39,0.7408930282591651
41,random,40,0.7408930282591651
41,random,41,0.7408930282591651
41,random,42,0.7408930282591651
41,random,43,0.7408930282591651
41,random,44,0.7408930282591651
41,random,45,0.7408930282591651
41,random,46,0.926048675013116
41,random,47,0.926048675013116
41,greedy,0,0.5231882459001157
41,greedy,1,0.5231882459001157
41,greedy,2,0.5231882459001157
41,greedy,3,0.5231882459001157
41,greedy,4,0.5231882459001157
41,greedy,5,0.5231882459001157
41,greedy,6,0.926048675013116
41,greedy,7,0.9490399254504641
41,greedy,8,0.9490399254504641
41,greedy,9,0.9490399254504641
41,greedy,10,0.9490399254504641
41,greedy,11,0.9490399254504641
41,greedy,12,0.9490399254504641
41,greedy,13,0.9490399254504641
41,greedy,14,0.9490399254504641
41,greedy,15,0.9490399254504641
41,greedy,16,0.9490399254504641
41,greedy,17,0.9490399254504641
41,greedy,18,0.9490399254504641
41,greedy,19,0.9490399254504641
41,greedy,20,0.9490399254504641
41,greedy,21,0.9490399254504641
41,greedy,22,0.9490399254504641
41,greedy,23,0.9490399254504641
41,greedy,24,0.9490399254504641
41,greedy,25,0.9490399254504641
41,greedy,26,0.9490399254504641
41,greedy,27,0.9490399254504641
41,greedy,28,0.9490399254504641
41,greedy,29,0.9490399254504641
41,greedy,30,0.9490399254504641
41,greedy,31,0.9490399254504641
41,greedy,32,0.9490399254504641
41,greedy,33,0.9490399254504641
41,greedy,34,0.9490399254504641
41,greedy,35,0.9490399254504641
41,greedy,36,0.9490399254504641
41,greedy,37,0.9490399254504641
41,greedy,38,0.9490399254504641
41,greedy,39,0.9490399254504641
41,greedy,40,0.9490399254504641
41,greedy,41,0.9490399254504641
41,greedy,42,0.9490399254504641
41,greedy,43,0.9490399254504641
41,greedy,44,0.9490399254504641
41,greedy,45,0.9490399254504641
41,greedy,46,0.9490399254504641
41,greedy,47,0.9490399254504641
41,bads,0,0.5231882459001157
41,bads,1,0.5231882459001157
41,bads,2,0.5231882459001157
41,bads,3,0.5231882459001157
41,bads,4,0.5231882459001157
41,bads,5,0.5231882459001157
41,bads,6,0.5231882459001157
41,bads,7,0.5231882459001157
41,bads,8,0.5231882459001157
41,bads,9,0.5231882459001157
41,bads,10,0.5231882459001157
41,bads,11,0.5310902376597155
41,bads,12,0.5310902376597155
41,bads,13,0.5310902376597155
41,bads,14,0.5310902376597155
41,bads,15,0.5310902376597155
41,bads,16,0.5310902376597155
41,bads,17,0.5310902376597155
41,bads,18,0.5310902376597155
41,bads,19,0.5310902376597155
41,bads,20,0.5310902376597155
41,bads,21,0.5310902376597155
41,bads,22,0.5310902376597155
41,bads,23,0.5310902376597155
41,bads,24,0.5310902376597155
41,bads,25,0.5310902376597155
41,bads,26,0.5310902376597155
41,bads,27,0.5310902376597155
41,bads,28,0.5310902376597155
41,bads,29,0.5310902376597155
41,bads,30,0.5310902376597155
41,bads,31,0.5850478497223558
41,bads,32,0.5850478497223558
41,bads,33,0.5850478497223558
41,bads,34,0.5850478497223558
