episode_seed,policy,candidate_id,selected_for_primary,pareto_archive_member,split,pattern_index,mean_loss_rate,fidelity,success_probability
17,random,54644c381d3ec6bb,True,True,heldout,13.0,0.035069773178391814,0.8060502793442622,0.8364416366787948
17,random,54644c381d3ec6bb,True,True,heldout,14.0,0.03310167339428749,0.8044160588143027,0.8452090918722897
17,random,54644c381d3ec6bb,True,True,heldout,15.0,0.0379947978553675,0.804966562374673,0.8240601014006381
17,random,54644c381d3ec6bb,True,True,heldout,16.0,0.03357265402181668,0.8033554732870244,0.843396893904007
17,random,54644c381d3ec6bb,True,True,heldout,17.0,0.03949777040180648,0.8060966419524718,0.8174191878279125
17,random,54644c381d3ec6bb,True,True,heldout,18.0,0.031403884281069036,0.8049325173855127,0.8519599421434774
17,random,54644c381d3ec6bb,True,True,heldout,19.0,0.035421427396662666,0.8047719104273408,0.8352932477706237
17,random,54644c381d3ec6bb,True,True,heldout,20.0,0.03968315145800059,0.8053421144783299,0.8168004653447019
17,random,54644c381d3ec6bb,True,True,heldout,21.0,0.0411184079473388,0.8054698857120222,0.8106074205985322
17,random,54644c381d3ec6bb,True,True,heldout,22.0,0.02946678295705605,0.8067810731674765,0.8609653273046408
17,random,54644c381d3ec6bb,True,True,heldout,23.0,0.03424887475678771,0.8054810899680994,0.8403245133366184
17,random,a9fd53f9dfebde88,False,True,train,0.0,0.015485671199049993,0.01452245669457568,0.9542514555477429
17,random,a9fd53f9dfebde88,False,True,train,1.0,0.010842832605868399,0.0146278391092169,0.967804813874843
17,random,a9fd53f9dfebde88,False,True,train,2.0,0.012317936256613949,0.014848701626303258,0.9634902181723062
17,random,a9fd53f9dfebde88,False,True,train,3.0,0.0128984737408209,0.014535816484337397,0.9617930898944796
17,random,a9fd53f9dfebde88,False,True,train,4.0,0.01294971721386856,0.014506452013908702,0.9616402408028591
17,random,a9fd53f9dfebde88,False,True,train,5.0,0.012061327618818738,0.01468554327978988,0.9642473604131132
17,random,a9fd53f9dfebde88,False,True,train,6.0,0.012844369015872959,0.014474803958319257,0.961956410511283
17,random,a9fd53f9dfebde88,False,True,train,7.0,0.01369664397283978,0.014837109165081455,0.9594575810176681
17,random,a9fd53f9dfebde88,False,True,train,8.0,0.012014628129612641,0.014665502351021117,0.964379750403004
17,random,a9fd53f9dfebde88,False,True,train,9.0,0.012325929195472353,0.014509305287107142,0.9634762936458241
17,random,a9fd53f9dfebde88,False,True,train,10.0,0.012923052357214958,0.01477638613656127,0.961728940151896
17,random,a9fd53f9dfebde88,False,True,train,11.0,0.01163611946862173,0.014729948765690812,0.9654819867418198
17,random,a9fd53f9dfebde88,False,True,train,12.0,0.015021541290551716,0.01459668372065093,0.9556095258157575
17,random,a9fd53f9dfebde88,False,True,train,13.0,0.010786093292198812,0.014478931411407676,0.9679853070559279
17,random,a9fd53f9dfebde88,False,True,train,14.0,0.010810048258198236,0.014427071008960454,0.9679239940870206
17,random,a9fd53f9dfebde88,False,True,train,15.0,0.012467222368818734,0.014627772869584608,0.9630521774918952
17,random,a9fd53f9dfebde88,False,True,heldout,0.0,0.028456703253500287,0.015652730374603463,0.9172148794056745
17,random,a9fd53f9dfebde88,False,True,heldout,1.0,0.04389686322274647,0.014895050033721715,0.8739636705378707
