seed,policy,query_number,candidate_index,observed_usable_success_q25,best_so_far_usable_success_q25
1703,greedy,18,113,0.06808791322157694,0.07783559733102247
1703,greedy,19,32,0.07273532124797971,0.07783559733102247
1703,greedy,20,54,0.07129507356055709,0.07783559733102247
1703,greedy,21,51,0.07384742078608794,0.07783559733102247
1703,greedy,22,103,0.07101018510717699,0.07783559733102247
1703,greedy,23,68,0.06587179440179664,0.07783559733102247
1703,greedy,24,99,0.0656198278699415,0.07783559733102247
1703,greedy,25,100,0.06291935849323628,0.07783559733102247
1703,greedy,26,107,0.07593057034982446,0.07783559733102247
1703,greedy,27,23,0.07378797083774988,0.07783559733102247
1703,greedy,28,14,0.07104451622291288,0.07783559733102247
1703,greedy,29,30,0.07129666634387892,0.07783559733102247
1703,greedy,30,9,0.07493860895834588,0.07783559733102247
1703,greedy,31,20,0.06820550170675349,0.07783559733102247
1703,greedy,32,42,0.06822999321157902,0.07783559733102247
1703,bads,1,0,0.07134946368132324,0.07134946368132324
1703,bads,2,90,0.07007572068780255,0.07134946368132324
1703,bads,3,89,0.07596157820672328,0.07596157820672328
1703,bads,4,112,0.07707536965531553,0.07707536965531553
1703,bads,5,86,0.0665811857088076,0.07707536965531553
1703,bads,6,44,0.07627969009613417,0.07707536965531553
1703,bads,7,126,0.07766750368129718,0.07766750368129718
1703,bads,8,104,0.07261344773922382,0.07766750368129718
1703,bads,9,122,0.07266485784545108,0.07766750368129718
1703,bads,10,120,0.07717762689161596,0.07766750368129718
1703,bads,11,8,0.06506643508926285,0.07766750368129718
1703,bads,12,38,0.07594338162996243,0.07766750368129718
1703,bads,13,52,0.06724836036439018,0.07766750368129718
1703,bads,14,3,0.07634234023302539,0.07766750368129718
1703,bads,15,63,0.06472165747956414,0.07766750368129718
1703,bads,16,16,0.07568123934560264,0.07766750368129718
1703,bads,17,39,0.07851846147294178,0.07851846147294178
1703,bads,18,111,0.07290072090096468,0.07851846147294178
1703,bads,19,25,0.07738970228048103,0.07851846147294178
1703,bads,20,56,0.07887415017891825,0.07887415017891825
1703,bads,21,51,0.07384742078608794,0.07887415017891825
1703,bads,22,115,0.07528590544257252,0.07887415017891825
1703,bads,23,110,0.07803748307725923,0.07887415017891825
1703,bads,24,82,0.07872767219299262,0.07887415017891825
1703,bads,25,98,0.07753908882206613,0.07887415017891825
1703,bads,26,58,0.069231297337433,0.07887415017891825
1703,bads,27,124,0.07688309774205243,0.07887415017891825
1703,bads,28,33,0.07664494629033301,0.07887415017891825
1703,bads,29,19,0.07764281522110611,0.07887415017891825
1703,bads,30,101,0.07728525564984506,0.07887415017891825
1703,bads,31,50,0.07533442433531981,0.07887415017891825
1703,bads,32,9,0.07493860895834588,0.07887415017891825
1704,catalog,1,0,0.06764755903258088,0.06764755903258088
1704,random,1,0,0.06764755903258088,0.06764755903258088
1704,random,2,63,0.05731638798830491,0.06764755903258088
1704,random,3,31,0.0653333034370901,0.06764755903258088
1704,random,4,120,0.07105180829100317,0.07105180829100317
1704,random,5,94,0.06306762806230631,0.07105180829100317
1704,random,6,17,0.05552854844291929,0.07105180829100317
1704,random,7,10,0.07143656064131032,0.07143656064131032
1704,random,8,79,0.056361499916180134,0.07143656064131032
1704,random,9,111,0.05930226390820308,0.07143656064131032
1704,random,10,34,0.05424981124177774,0.07143656064131032
1704,random,11,56,0.07444346762832481,0.07444346762832481
1704,random,12,81,0.06109888349958905,0.07444346762832481
1704,random,13,126,0.06511731153604809,0.07444346762832481
1704,random,14,54,0.05819749547844869,0.07444346762832481
1704,random,15,74,0.07126103119969308,0.07444346762832481
1704,random,16,86,0.06491993042355533,0.07444346762832481
1704,random,17,99,0.06759040125893212,0.07444346762832481
1704,random,18,33,0.06597080266301811,0.07444346762832481
1704,random,19,8,0.06004085829609017,0.07444346762832481
1704,random,20,82,0.07130675418277097,0.07444346762832481
1704,random,21,50,0.05589127142270234,0.07444346762832481
1704,random,22,59,0.05836257605090936,0.07444346762832481
1704,random,23,2,0.05469986979606235,0.07444346762832481
1704,random,24,125,0.06550984570809984,0.07444346762832481
1704,random,25,38,0.06805753083434647,0.07444346762832481
1704,random,26,114,0.058576543907299564,0.07444346762832481
1704,random,27,49,0.06392674270856832,0.07444346762832481
1704,random,28,24,0.05871865704820616,0.07444346762832481
1704,random,29,12,0.05923588713001939,0.07444346762832481
1704,random,30,13,0.060344427895003154,0.07444346762832481
1704,random,31,69,0.06307198391204968,0.07444346762832481
1704,random,32,92,0.06871605996008841,0.07444346762832481
1704,greedy,1,0,0.06764755903258088,0.06764755903258088
1704,greedy,2,63,0.05731638798830491,0.06764755903258088
1704,greedy,3,31,0.0653333034370901,0.06764755903258088
1704,greedy,4,120,0.07105180829100317,0.07105180829100317
1704,greedy,5,55,0.07113178442692952,0.07113178442692952
1704,greedy,6,86,0.06491993042355533,0.07113178442692952
1704,greedy,7,87,0.06980836491840932,0.07113178442692952
1704,greedy,8,7,0.0634409867998805,0.07113178442692952
1704,greedy,9,4,0.06845792232354407,0.07113178442692952
1704,greedy,10,115,0.07065741534003045,0.07113178442692952
1704,greedy,11,94,0.06306762806230631,0.07113178442692952
1704,greedy,12,66,0.06956616805069615,0.07113178442692952
1704,greedy,13,98,0.06377143566091115,0.07113178442692952
1704,greedy,14,15,0.0667211074833786,0.07113178442692952
1704,greedy,15,62,0.07479131897760333,0.07479131897760333
1704,greedy,16,125,0.06550984570809984,0.07479131897760333
1704,greedy,17,32,0.06754069717115452,0.07479131897760333
1704,greedy,18,72,0.07688202407342616,0.07688202407342616
1704,greedy,19,6,0.07277648375317831,0.07688202407342616
1704,greedy,20,109,0.07496407197007683,0.07688202407342616
1704,greedy,21,100,0.06711480803250411,0.07688202407342616
1704,greedy,22,38,0.06805753083434647,0.07688202407342616
1704,greedy,23,124,0.07258163262613417,0.07688202407342616
1704,greedy,24,70,0.061617867528358655,0.07688202407342616
1704,greedy,25,92,0.06871605996008841,0.07688202407342616
1704,greedy,26,30,0.06477973459693168,0.07688202407342616
1704,greedy,27,56,0.07444346762832481,0.07688202407342616
1704,greedy,28,104,0.06451355077157427,0.07688202407342616
1704,greedy,29,81,0.06109888349958905,0.07688202407342616
1704,greedy,30,74,0.07126103119969308,0.07688202407342616
1704,greedy,31,96,0.059421978281475094,0.07688202407342616
1704,greedy,32,80,0.06971155874004262,0.07688202407342616
1704,bads,1,0,0.06764755903258088,0.06764755903258088
1704,bads,2,63,0.05731638798830491,0.06764755903258088
1704,bads,3,31,0.0653333034370901,0.06764755903258088
1704,bads,4,120,0.07105180829100317,0.07105180829100317
1704,bads,5,72,0.07688202407342616,0.07688202407342616
1704,bads,6,92,0.06871605996008841,0.07688202407342616
1704,bads,7,56,0.07444346762832481,0.07688202407342616
1704,bads,8,95,0.05661066262113992,0.07688202407342616
1704,bads,9,41,0.07366653856683876,0.07688202407342616
1704,bads,10,47,0.07195277521720311,0.07688202407342616
1704,bads,11,62,0.07479131897760333,0.07688202407342616
1704,bads,12,112,0.0738574544626683,0.07688202407342616
1704,bads,13,85,0.07365956134388713,0.07688202407342616
1704,bads,14,10,0.07143656064131032,0.07688202407342616
1704,bads,15,27,0.07457128737827302,0.07688202407342616
1704,bads,16,73,0.07366660030968153,0.07688202407342616
1704,bads,17,71,0.07573880911981104,0.07688202407342616
1704,bads,18,124,0.07258163262613417,0.07688202407342616
1704,bads,19,66,0.06956616805069615,0.07688202407342616
1704,bads,20,32,0.06754069717115452,0.07688202407342616
1704,bads,21,26,0.07310486081680789,0.07688202407342616
1704,bads,22,118,0.07223588269626406,0.07688202407342616
1704,bads,23,122,0.07062279599888424,0.07688202407342616
1704,bads,24,119,0.07183162810736993,0.07688202407342616
1704,bads,25,74,0.07126103119969308,0.07688202407342616
1704,bads,26,46,0.0723376147565151,0.07688202407342616
1704,bads,27,28,0.07117873878963657,0.07688202407342616
1704,bads,28,109,0.07496407197007683,0.07688202407342616
1704,bads,29,11,0.07429848241968709,0.07688202407342616
1704,bads,30,78,0.0722533850269452,0.07688202407342616
1704,bads,31,82,0.07130675418277097,0.07688202407342616
1704,bads,32,6,0.07277648375317831,0.07688202407342616
1705,catalog,1,0,0.06535429295607866,0.06535429295607866
1705,random,1,0,0.06535429295607866,0.06535429295607866
1705,random,2,61,0.0735968881752212,0.0735968881752212
1705,random,3,96,0.0739034419031573,0.0739034419031573
1705,random,4,12,0.06676704360320085,0.0739034419031573
1705,random,5,111,0.07067414446874784,0.0739034419031573
1705,random,6,45,0.06355940243668576,0.0739034419031573
1705,random,7,69,0.052418797305619894,0.0739034419031573
1705,random,8,100,0.06722495586023328,0.0739034419031573
1705,random,9,71,0.05997894302668445,0.0739034419031573
1705,random,10,83,0.07180843177875626,0.0739034419031573
1705,random,11,2,0.06032298080736528,0.0739034419031573
1705,random,12,64,0.06279818511533387,0.0739034419031573
1705,random,13,116,0.06179506081539321,0.0739034419031573
